USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
CA	06001400100	6945856	0	2.682	0.	37.8676563	-122.2318813                                                                                                                                               
CA	06001400200	586560	0	0.226	0.	37.8481378	-122.2495916                                                                                                                                                
CA	06001400300	1110840	0	0.429	0.	37.8405841	-122.2544782                                                                                                                                               
CA	06001400400	716138	0	0.277	0.	37.848284	-122.2574447                                                                                                                                                 
CA	06001400500	591424	0	0.228	0.	37.8485452	-122.2647353                                                                                                                                                
CA	06001400600	297856	0	0.115	0.	37.8419909	-122.2648882                                                                                                                                                
CA	06001400700	865141	0	0.334	0.	37.8417014	-122.2722628                                                                                                                                                
CA	06001400800	725817	0	0.28	0.	37.8454176	-122.2832338                                                                                                                                                 
CA	06001400900	408342	0	0.158	0.	37.839413	-122.280255                                                                                                                                                  
CA	06001401000	1149000	0	0.444	0.	37.8312043	-122.2718866                                                                                                                                               
CA	06001401100	873332	0	0.337	0.	37.8304839	-122.2638399                                                                                                                                                
CA	06001401200	663620	0	0.256	0.	37.8306009	-122.2579159                                                                                                                                                
CA	06001401300	861889	0	0.333	0.	37.8181386	-122.2667055                                                                                                                                                
CA	06001401400	754768	0	0.291	0.	37.8207423	-122.273409                                                                                                                                                 
CA	06001401500	467741	0	0.181	0.	37.8229286	-122.2806336                                                                                                                                                
CA	06001401600	636136	0	0.246	0.	37.8173713	-122.2814822                                                                                                                                                
CA	06001401700	5751456	5771096	2.221	2.228	37.8211635	-122.3187951                                                                                                                                      
CA	06001401800	301016	0	0.116	0.	37.8095098	-122.2982554                                                                                                                                                
CA	06001402200	715808	0	0.276	0.	37.8063266	-122.2962183                                                                                                                                                
CA	06001402400	337011	0	0.13	0.	37.8120305	-122.2824576                                                                                                                                                 
CA	06001402500	365454	0	0.141	0.	37.8057305	-122.2847803                                                                                                                                                
CA	06001402600	318842	0	0.123	0.	37.80427	-122.2799551                                                                                                                                                  
CA	06001402700	387217	0	0.15	0.	37.8103325	-122.2770981                                                                                                                                                 
CA	06001402801	291472	0	0.113	0.	37.8095483	-122.2707403                                                                                                                                                
CA	06001402802	118446	0	0.046	0.	37.8070174	-122.2735577                                                                                                                                                
CA	06001402900	407131	0	0.157	0.	37.8071852	-122.2667035                                                                                                                                                
CA	06001403000	352394	0	0.136	0.	37.8004341	-122.2707274                                                                                                                                                
CA	06001403100	346852	0	0.134	0.	37.8022741	-122.2755012                                                                                                                                                
CA	06001403301	196598	0	0.076	0.	37.7981065	-122.266955                                                                                                                                                 
CA	06001403302	719239	104126	0.278	0.04	37.7937603	-122.2667344                                                                                                                                         
CA	06001403401	549686	602434	0.212	0.233	37.8092493	-122.2597833                                                                                                                                        
CA	06001403402	99215	0	0.038	0.	37.8024095	-122.2651075                                                                                                                                                 
