zip,place,county,state,lat,lng
90001,Los Angeles,Los Angeles,CA,33.97365,-118.24904
90002,Los Angeles,Los Angeles,CA,33.94906,-118.24679
90003,Los Angeles,Los Angeles,CA,33.96409,-118.27368
90004,Los Angeles,Los Angeles,CA,34.07624,-118.31101
90005,Los Angeles,Los Angeles,CA,34.05939,-118.30909
90006,Los Angeles,Los Angeles,CA,34.04807,-118.29411
90007,Los Angeles,Los Angeles,CA,34.02819,-118.28486
90008,Los Angeles,Los Angeles,CA,34.01037,-118.3428
90010,Los Angeles,Los Angeles,CA,34.06209,-118.31262
90011,Los Angeles,Los Angeles,CA,34.00689,-118.25861
90012,Los Angeles,Los Angeles,CA,34.06679,-118.23878
90013,Los Angeles,Los Angeles,CA,34.04435,-118.24
90014,Los Angeles,Los Angeles,CA,34.04302,-118.25182
90015,Los Angeles,Los Angeles,CA,34.03932,-118.26625
90016,Los Angeles,Los Angeles,CA,34.02881,-118.35436
90017,Los Angeles,Los Angeles,CA,34.05306,-118.26447
90018,Los Angeles,Los Angeles,CA,34.0286,-118.31737
90019,Los Angeles,Los Angeles,CA,34.04861,-118.33874
90020,Los Angeles,Los Angeles,CA,34.06638,-118.30986
90021,Los Angeles,Los Angeles,CA,34.02909,-118.23889
90022,Los Angeles,Los Angeles,CA,34.02455,-118.15608
90023,Los Angeles,Los Angeles,CA,34.02264,-118.19986
90024,Los Angeles,Los Angeles,CA,34.06565,-118.43521
90025,Los Angeles,Los Angeles,CA,34.04551,-118.44583
90026,Los Angeles,Los Angeles,CA,34.07883,-118.2637
90027,Los Angeles,Los Angeles,CA,34.12515,-118.29049
90028,Los Angeles,Los Angeles,CA,34.09982,-118.3268
90029,Los Angeles,Los Angeles,CA,34.08983,-118.29467
90031,Los Angeles,Los Angeles,CA,34.08122,-118.21081
90032,Los Angeles,Los Angeles,CA,34.0793,-118.17835
90033,Los Angeles,Los Angeles,CA,34.05117,-118.21165
90034,Los Angeles,Los Angeles,CA,34.03059,-118.39936
90035,Los Angeles,Los Angeles,CA,34.05139,-118.38577
90036,Los Angeles,Los Angeles,CA,34.07013,-118.34978
90037,Los Angeles,Los Angeles,CA,34.00271,-118.28747
90038,Los Angeles,Los Angeles,CA,34.08882,-118.32671
90039,Los Angeles,Los Angeles,CA,34.11242,-118.26153
90040,Los Angeles,Los Angeles,CA,33.99318,-118.1489
90041,Los Angeles,Los Angeles,CA,34.13749,-118.20746
90042,Los Angeles,Los Angeles,CA,34.11475,-118.192
90043,Los Angeles,Los Angeles,CA,33.98876,-118.33519
90044,Los Angeles,Los Angeles,CA,33.95253,-118.29194
90045,Los Angeles,Los Angeles,CA,33.95302,-118.40028
90046,Los Angeles,Los Angeles,CA,34.10752,-118.36575
90047,Los Angeles,Los Angeles,CA,33.95456,-118.30899
90048,Los Angeles,Los Angeles,CA,34.07293,-118.3727
90049,Los Angeles,Los Angeles,CA,34.08749,-118.48976
90052,Los Angeles,Los Angeles,CA,33.9783,-118.25891
90056,Los Angeles,Los Angeles,CA,33.99361,-118.36884
90057,Los Angeles,Los Angeles,CA,34.06205,-118.27704
90058,Los Angeles,Los Angeles,CA,34.00264,-118.21452
90059,Los Angeles,Los Angeles,CA,33.92709,-118.2491
90061,Los Angeles,Los Angeles,CA,33.92037,-118.27383
90062,Los Angeles,Los Angeles,CA,34.0035,-118.30904
90063,Los Angeles,Los Angeles,CA,34.0452,-118.18583
90064,Los Angeles,Los Angeles,CA,34.0358,-118.42653
90065,Los Angeles,Los Angeles,CA,34.10867,-118.22813
90066,Los Angeles,Los Angeles,CA,34.00166,-118.43104
90067,Los Angeles,Los Angeles,CA,34.0565,-118.41373
90068,Los Angeles,Los Angeles,CA,34.12794,-118.32914
90069,West Hollywood,Los Angeles,CA,34.09401,-118.38154
90071,Los Angeles,Los Angeles,CA,34.05239,-118.25518
90073,Los Angeles,Los Angeles,CA,34.05738,-118.45956
90077,Los Angeles,Los Angeles,CA,34.10536,-118.45591
90079,Los Angeles,Los Angeles,CA,34.04058,-118.25541
90089,Los Angeles,Los Angeles,CA,34.02158,-118.2856
90094,Playa Vista,Los Angeles,CA,33.97523,-118.41837
90095,Los Angeles,Los Angeles,CA,34.07121,-118.44334
90201,Bell Gardens,Los Angeles,CA,33.97113,-118.1709
90210,Beverly Hills,Los Angeles,CA,34.10251,-118.41505
90211,Beverly Hills,Los Angeles,CA,34.06498,-118.38293
90212,Beverly Hills,Los Angeles,CA,34.06208,-118.40173
90220,Compton,Los Angeles,CA,33.88058,-118.23591
90221,Compton,Los Angeles,CA,33.88542,-118.20614
90222,Compton,Los Angeles,CA,33.91213,-118.23721
90230,Culver City,Los Angeles,CA,33.99691,-118.39487
90232,Culver City,Los Angeles,CA,34.01859,-118.39157
90240,Downey,Los Angeles,CA,33.9564,-118.11803
90241,Downey,Los Angeles,CA,33.94076,-118.1295
90242,Downey,Los Angeles,CA,33.92216,-118.14167
90245,El Segundo,Los Angeles,CA,33.91709,-118.40161
90247,Gardena,Los Angeles,CA,33.89159,-118.29735
90248,Gardena,Los Angeles,CA,33.87689,-118.28362
90249,Gardena,Los Angeles,CA,33.90152,-118.31707
90250,Hawthorne,Los Angeles,CA,33.91383,-118.34996
90254,Hermosa Beach,Los Angeles,CA,33.86532,-118.39616
90255,Huntington Park,Los Angeles,CA,33.97697,-118.21725
90260,Lawndale,Los Angeles,CA,33.88768,-118.34952
90262,Lynwood,Los Angeles,CA,33.92384,-118.20133
90263,Malibu,Los Angeles,CA,34.03919,-118.70809
90265,Malibu,Los Angeles,CA,34.07282,-118.84995
90266,Manhattan Beach,Los Angeles,CA,33.88968,-118.39705
90270,Maywood,Los Angeles,CA,33.98856,-118.18774
90272,Pacific Palisades,Los Angeles,CA,34.08066,-118.54459
90274,Palos Verdes Peninsula,Los Angeles,CA,33.77732,-118.3684
90275,Rancho Palos Verdes,Los Angeles,CA,33.7555,-118.36338
90277,Redondo Beach,Los Angeles,CA,33.83099,-118.38441
90278,Redondo Beach,Los Angeles,CA,33.87362,-118.37028
90280,South Gate,Los Angeles,CA,33.94453,-118.19256
90290,Topanga,Los Angeles,CA,34.09725,-118.6125
90291,Venice,Los Angeles,CA,33.99447,-118.46315
90292,Marina Del Rey,Los Angeles,CA,33.97865,-118.44707
90293,Playa Del Rey,Los Angeles,CA,33.95071,-118.43745
90301,Inglewood,Los Angeles,CA,33.95647,-118.35863
90302,Inglewood,Los Angeles,CA,33.97472,-118.35565
90303,Inglewood,Los Angeles,CA,33.93601,-118.33112
90304,Inglewood,Los Angeles,CA,33.93736,-118.35879
90305,Inglewood,Los Angeles,CA,33.9583,-118.33113
90401,Santa Monica,Los Angeles,CA,34.01584,-118.49251
90402,Santa Monica,Los Angeles,CA,34.03598,-118.50391
90403,Santa Monica,Los Angeles,CA,34.03164,-118.48975
90404,Santa Monica,Los Angeles,CA,34.02665,-118.47381
90405,Santa Monica,Los Angeles,CA,34.01208,-118.4679
90501,Torrance,Los Angeles,CA,33.8336,-118.31419
90502,Torrance,Los Angeles,CA,33.83497,-118.29291
90503,Torrance,Los Angeles,CA,33.84089,-118.3538
90504,Torrance,Los Angeles,CA,33.86693,-118.33135
90505,Torrance,Los Angeles,CA,33.80904,-118.34775
90506,Torrance,Los Angeles,CA,33.88493,-118.33044
90601,Whittier,Los Angeles,CA,34.0078,-118.03287
90602,Whittier,Los Angeles,CA,33.97317,-118.02341
90603,Whittier,Los Angeles,CA,33.94487,-117.99239
90604,Whittier,Los Angeles,CA,33.93012,-118.01226
90605,Whittier,Los Angeles,CA,33.95209,-118.02085
90606,Whittier,Los Angeles,CA,33.97742,-118.0661
90638,La Mirada,Los Angeles,CA,33.90236,-118.00907
90639,La Mirada,Los Angeles,CA,33.90565,-118.01499
90640,Montebello,Los Angeles,CA,34.01506,-118.111
