zip,place,county,state,lat,lng
zip,place,county,state,lat,lng
91701,Rancho Cucamonga,San Bernardino,CA,34.13784,-117.60028
91708,Chino,San Bernardino,CA,33.95141,-117.64506
91709,Chino Hills,San Bernardino,CA,33.95105,-117.72549
91710,Chino,San Bernardino,CA,34.00507,-117.68249
91730,Rancho Cucamonga,San Bernardino,CA,34.10023,-117.5811
91737,Rancho Cucamonga,San Bernardino,CA,34.15523,-117.57808
91739,Rancho Cucamonga,San Bernardino,CA,34.1622,-117.51558
91761,Ontario,San Bernardino,CA,34.03541,-117.5915
91762,Ontario,San Bernardino,CA,34.02764,-117.64308
91763,Montclair,San Bernardino,CA,34.07208,-117.69828
91764,Ontario,San Bernardino,CA,34.07533,-117.60164
91784,Upland,San Bernardino,CA,34.14103,-117.65831
91786,Upland,San Bernardino,CA,34.10525,-117.66206
92242,Earp,San Bernardino,CA,34.19019,-114.30755
92252,Joshua Tree,San Bernardino,CA,34.14801,-116.28422
92256,Morongo Valley,San Bernardino,CA,34.07207,-116.61761
92267,Parker Dam,San Bernardino,CA,34.29765,-114.20138
92268,Pioneertown,San Bernardino,CA,34.16146,-116.55002
92277,Twentynine Palms,San Bernardino,CA,34.11248,-115.68752
92278,Twentynine Palms,San Bernardino,CA,34.23505,-116.05825
92280,Vidal,San Bernardino,CA,34.13963,-114.84652
92284,Yucca Valley,San Bernardino,CA,34.16013,-116.42474
92285,Landers,San Bernardino,CA,34.33762,-116.51364
92301,Adelanto,San Bernardino,CA,34.65183,-117.52617
92304,Amboy,San Bernardino,CA,34.53062,-115.65933
92305,Angelus Oaks,San Bernardino,CA,34.17018,-116.83231
92307,Apple Valley,San Bernardino,CA,34.59078,-117.14127
92308,Apple Valley,San Bernardino,CA,34.42005,-117.15558
92309,Baker,San Bernardino,CA,35.24942,-116.15578
92310,Fort Irwin,San Bernardino,CA,35.33443,-116.76306
92311,Barstow,San Bernardino,CA,34.97204,-117.0101
92313,Grand Terrace,San Bernardino,CA,34.03142,-117.31373
92314,Big Bear City,San Bernardino,CA,34.2576,-116.80075
92315,Big Bear Lake,San Bernardino,CA,34.22011,-116.95301
92316,Bloomington,San Bernardino,CA,34.0576,-117.39076
92317,Blue Jay,San Bernardino,CA,34.24507,-117.20874
92321,Cedar Glen,San Bernardino,CA,34.24748,-117.14694
92322,Cedarpines Park,San Bernardino,CA,34.25419,-117.32259
92324,Colton,San Bernardino,CA,34.03398,-117.29008
92325,Crestline,San Bernardino,CA,34.24554,-117.27506
92327,Daggett,San Bernardino,CA,34.86632,-116.84347
92332,Essex,San Bernardino,CA,34.90728,-115.36409
92333,Fawnskin,San Bernardino,CA,34.26951,-116.96277
92335,Fontana,San Bernardino,CA,34.08733,-117.46519
92336,Fontana,San Bernardino,CA,34.13686,-117.46033
92337,Fontana,San Bernardino,CA,34.04967,-117.47145
92338,Ludlow,San Bernardino,CA,34.78773,-116.25117
92339,Forest Falls,San Bernardino,CA,34.08189,-116.83838
92341,Green Valley Lake,San Bernardino,CA,34.24009,-117.06798
92342,Helendale,San Bernardino,CA,34.76078,-117.33795
92344,Hesperia,San Bernardino,CA,34.39176,-117.40657
92345,Hesperia,San Bernardino,CA,34.36415,-117.30984
92346,Highland,San Bernardino,CA,34.12629,-117.1792
92347,Hinkley,San Bernardino,CA,34.95003,-117.25802
92350,Loma Linda,San Bernardino,CA,34.05296,-117.2617
92352,Lake Arrowhead,San Bernardino,CA,34.26824,-117.18486
92354,Loma Linda,San Bernardino,CA,34.04933,-117.25119
92356,Lucerne Valley,San Bernardino,CA,34.49633,-116.89265
92358,Lytle Creek,San Bernardino,CA,34.24624,-117.56762
92359,Mentone,San Bernardino,CA,34.08296,-117.07026
92363,Needles,San Bernardino,CA,34.70863,-114.57562
92364,Nipton,San Bernardino,CA,35.35678,-115.43741
92365,Newberry Springs,San Bernardino,CA,34.88843,-116.54129
92368,Oro Grande,San Bernardino,CA,34.65508,-117.30893
92369,Patton,San Bernardino,CA,34.13941,-117.21966
92371,Phelan,San Bernardino,CA,34.43837,-117.54266
92372,Pinon Hills,San Bernardino,CA,34.45097,-117.62859
92373,Redlands,San Bernardino,CA,34.00648,-117.15351
92374,Redlands,San Bernardino,CA,34.06738,-117.17482
92376,Rialto,San Bernardino,CA,34.11053,-117.37997
92377,Rialto,San Bernardino,CA,34.15234,-117.40412
92378,Rimforest,San Bernardino,CA,34.23206,-117.22483
92382,Running Springs,San Bernardino,CA,34.20604,-117.11276
92385,Skyforest,San Bernardino,CA,34.21345,-117.23057
92386,Sugarloaf,San Bernardino,CA,34.23702,-116.82523
92391,Twin Peaks,San Bernardino,CA,34.23958,-117.23665
92392,Victorville,San Bernardino,CA,34.479,-117.40884
92394,Victorville,San Bernardino,CA,34.563,-117.3542
92395,Victorville,San Bernardino,CA,34.50032,-117.29479
92398,Yermo,San Bernardino,CA,34.97178,-116.83808
92399,Yucaipa,San Bernardino,CA,34.04469,-117.004
92401,San Bernardino,San Bernardino,CA,34.10586,-117.29188
92404,San Bernardino,San Bernardino,CA,34.17862,-117.23891
92405,San Bernardino,San Bernardino,CA,34.14578,-117.30225
92407,San Bernardino,San Bernardino,CA,34.22394,-117.38839
92408,San Bernardino,San Bernardino,CA,34.0845,-117.2653
92410,San Bernardino,San Bernardino,CA,34.10655,-117.29574
92411,San Bernardino,San Bernardino,CA,34.12214,-117.32291
92415,San Bernardino,San Bernardino,CA,34.10506,-117.28685
93558,Red Mountain,San Bernardino,CA,35.33945,-117.58517
93562,Trona,San Bernardino,CA,35.70667,-117.34263
