zip,place,county,state,lat,lng
zip,place,county,state,lat,lng
91320,Newbury Park,Ventura,CA,34.17339,-118.94795
91360,Thousand Oaks,Ventura,CA,34.21475,-118.87735
91361,Westlake Village,Ventura,CA,34.14016,-118.88398
91362,Thousand Oaks,Ventura,CA,34.19244,-118.81949
91377,Oak Park,Ventura,CA,34.1847,-118.76652
93001,Ventura,Ventura,CA,34.35321,-119.31868
93003,Ventura,Ventura,CA,34.28434,-119.22256
93004,Ventura,Ventura,CA,34.27901,-119.16537
93010,Camarillo,Ventura,CA,34.23007,-119.07437
93012,Camarillo,Ventura,CA,34.20518,-118.99309
93015,Fillmore,Ventura,CA,34.40969,-118.87807
93021,Moorpark,Ventura,CA,34.30417,-118.88274
93022,Oak View,Ventura,CA,34.40324,-119.29836
93023,Ojai,Ventura,CA,34.50372,-119.24856
93030,Oxnard,Ventura,CA,34.2051,-119.1753
93033,Oxnard,Ventura,CA,34.15401,-119.12296
93035,Oxnard,Ventura,CA,34.19034,-119.22879
93036,Oxnard,Ventura,CA,34.24911,-119.15977
93040,Piru,Ventura,CA,34.59337,-118.93657
93041,Port Hueneme,Ventura,CA,34.14956,-119.17458
93042,Point Mugu Nawc,Ventura,CA,33.4077,-119.43365
93043,Port Hueneme Cbc Base,Ventura,CA,34.17001,-119.2026
93060,Santa Paula,Ventura,CA,34.36543,-119.09563
93063,Simi Valley,Ventura,CA,34.30922,-118.69041
93064,Brandeis,Ventura,CA,34.24527,-118.69984
93065,Simi Valley,Ventura,CA,34.26206,-118.77151
93066,Somis,Ventura,CA,34.28851,-119.02848
93225,Frazier Park,Ventura,CA,34.78532,-119.04196
93252,Maricopa,Ventura,CA,34.80685,-119.34664
